¿Cuál es el significado etimológico de la palabra hebrea Vayakhel?,Significa 'y congregó' o 'e hizo asamblea'.
¿Qué término hebreo se traduce como 'cuentas' o 'recuento' y da nombre a la parashá que cierra el libro de Éxodo?,El término es Pekudei.
¿Cuál es la primera instrucción que Moisés da al pueblo antes de iniciar la construcción del Tabernáculo?,La observancia y santidad del Shabbat.
¿Qué principio espiritual enseña el hecho de que el Shabbat preceda las instrucciones del Mishkán?,Enseña que el tiempo santificado tiene prioridad sobre cualquier labor productiva o lugar físico.
Término hebreo: Mikdash,"Definición: Santuario o lugar consagrado, derivado de la raíz 'Kadash' (santificar o apartar)."
Término hebreo: Mishkán,"Definición: Tabernáculo o morada, derivado de la palabra 'Shakan' (habitar o residir)."
"Según Juan 1:14, ¿qué palabra griega significa 'extender su tabernáculo' para referirse a la encarnación de Yeshúa?",La palabra es skenó.
¿A qué se refiere el término 'Mishkán' celestial mencionado en Hebreos 8:2?,"Al verdadero tabernáculo levantado por Elohim, del cual el terrenal es solo una figura y sombra."
¿Qué representan las cuatro columnas que sostenían la única puerta del Tabernáculo?,Representan los cuatro evangelios que muestran la identidad y obra del Mesías.
¿Qué simbolismo tiene el color azul en las cortinas del Mishkán?,Simboliza la obediencia a la Torá y la mirada puesta en el reino celestial.
¿Qué simbolismo tiene el color púrpura en el contexto del Tabernáculo?,Representa la realeza del Mesías Yeshúa.
¿Qué aspecto del Mesías es señalado por el color carmesí en el santuario?,Señala su sacrificio y la expiación por medio de su sangre.
"En el mobiliario del Mishkán, ¿qué representa el lino fino blanco?",Representa la pureza y la justicia del Mesías y de sus seguidores.
Espacio del Tabernáculo: Atrio (Hatser),"Representación: La realidad física, el cuerpo humano y las acciones visibles del creyente."
Espacio del Tabernáculo: Lugar Santo (Hakodesh),"Representación: El segundo cielo, la mente, el alma y la conciencia del creyente."
Espacio del Tabernáculo: Lugar Santísimo (Kodesh Hakodashim),"Representación: El tercer cielo, el trono de Elohim y la neshamá (aliento de vida) humana."
¿Qué representa el bronce en los utensilios del atrio exterior?,"Representa la humanidad, la mortalidad, el juicio y la resistencia ante las pruebas."
¿Qué simbolismo tiene el oro en el mobiliario interior del Tabernáculo?,"Simboliza la divinidad, la gloria celestial y la santidad eterna de Elohim."
¿Qué representan los cuatro cuernos del altar de holocaustos?,Representan el alcance del sacrificio del Mesías hacia los cuatro puntos cardinales de la tierra.
¿De qué material estaban hechos los espejos con los que se fabricó la fuente de bronce?,Estaban hechos de metal pulido donado por las mujeres que velaban a la puerta.
¿Qué función espiritual cumple la fuente de bronce como 'espejo' para el creyente?,Refleja la verdadera condición espiritual a través de la palabra de Elohim para permitir la purificación.
¿Qué representan los doce panes de la proposición colocados en la mesa de oro?,Representan la provisión continua de la palabra de Elohim para las doce tribus de Israel.
¿Cada cuánto tiempo debían los sacerdotes renovar y consumir los panes de la mesa?,Debían hacerlo cada Shabbat.
¿Cuáles son las siete facetas del Ruaj Hakodesh representadas por los brazos de la Menorá según Isaías 11:2?,"Sabiduría, inteligencia, consejo, poder, conocimiento, temor de Adonay y el Espíritu de Adonay."
¿Qué simboliza el incienso que se quemaba en el altar de oro delante del velo?,Simboliza las oraciones de los santos y la obra intercesora del Mesías Yeshúa.
¿Cuál es el nombre de la cubierta de oro puro del Arca del Pacto que tenía dos querubines?,El propiciatorio (Kapporet).
¿Qué tres elementos sagrados se encontraban en el interior del Arca del Testimonio?,"Las tablas del pacto, una urna de oro con maná y la vara de Aarón que reverdeció."
"Tras la obra propiciatoria de Yeshúa, ¿en qué se transforman las tablas del pacto para el creyente?",Dejan de ser recordatorio de idolatría para ser el testimonio del pacto restaurado.
¿Qué promesa eterna representa el maná dentro del Arca tras la redención del Mesías?,Representa la provisión de la vida eterna.
¿Qué simboliza la vara de Aarón que reverdeció en el contexto del Reino Mesiánico?,Simboliza la promesa de resurrección y el establecimiento de la autoridad del Mesías.
¿Qué evento físico ocurrió en el Templo al morir Yeshúa que simboliza el acceso libre al lugar santísimo?,El velo se rasgó en dos de arriba abajo.
Concepto hebreo: Cahal,"Definición: Pueblo convocado para recibir instrucción, equivalente bíblico de 'iglesia'."
¿Cómo define Esteban la Torá recibida en el monte Sinaí según Hechos 7:38?,La define como 'palabras de vida'.
¿Qué palabra griega se utiliza en la Septuaginta y el Nuevo Testamento para traducir el concepto de Cahal?,La palabra es eclesía.
"Según Mateo 5:19, ¿quién será llamado 'grande' en el reino de los cielos?",Cualquiera que haga y enseñe los mandamientos de la Torá.
¿A qué se refiere Yeshúa al decir que no fue enviado sino a las 'ovejas perdidas de la casa de Israel'?,Se refiere a su misión primaria de redimir y restaurar al pueblo del pacto.
"De acuerdo con Efesios 2:12, ¿cuál era la condición de los gentiles antes del Mesías?",Estaban alejados de la ciudadanía de Israel y ajenos a los pactos de la promesa.
¿Qué significa el nombre de Betzalel?,Significa 'bajo la sombra (protección) de Elohim'.
¿Cuál es el significado del nombre Oholiab?,Significa 'la tienda del Padre'.
¿Qué término hebreo se refiere al 'saber' o conocimiento de la voluntad y palabra del Eterno?,El término es Chokhmah (sabiduría).
¿Qué es la Binah en el proceso de crecimiento espiritual?,Es el entendimiento o inteligencia para discernir y aplicar la palabra a situaciones específicas.
¿Qué nivel de conocimiento espiritual representa la palabra Da'at?,"Representa el conocimiento íntimo, relacional y la revelación directa del carácter de Elohim."
¿De qué palabra hebrea deriva el término 'Torá'?,"Deriva de la palabra 'Yará', que significa dirigir, instruir o enseñar."
Término hebreo: Terumá,Definición: Ofrenda o contribución elevada que nace voluntariamente del corazón.
¿Qué implica el término 'Kara Beshem' en el llamado de Betzalel?,"Implica que fue llamado por nombre conforme a su propósito, autoridad y carácter designado por Elohim."
¿Cuál era la ocupación o 'arte' principal prohibida en Shabbat bajo el término 'Melajá'?,"Cualquier trabajo creativo o productivo relacionado con la construcción del santuario, como encender fuego para fundir metales."
¿Qué diferencia hay entre 'Bar Esh' y encender una luz según el pensamiento hebreo?,"Bar Esh implica provocar fuego para consumir algo (laboral/cocción), mientras que encender luz es una fuente de iluminación."
"Según Apocalipsis 14:12, ¿cuáles son las dos características de la 'iglesia verdadera' o los santos?",Guardar los mandamientos de Elohim y mantener la fe de Yeshúa.
¿Qué representa la madera de acacia recubierta de oro en los muebles del santuario?,Representa a la humanidad (madera) elevada y santificada por la divinidad (oro).
¿Cómo actuaba el propiciatorio junto con la sangre en el día de Yom Kipur?,Actuaba como una cobertura que permitía que la presencia de Adonay se manifestara sin consumir al pueblo.
¿Cuál es el propósito del Ruaj Hakodesh al dotar de dones a los creyentes?,Capacitarlos para edificar el cuerpo del Mesías y establecer el reino de Elohim.
¿Qué enseña el apóstol Pablo sobre el Shabbat en su estancia en Corinto (Hechos 18)?,Enseñó y dialogó en la sinagoga todos los días de reposo durante un año y seis meses.
"En el contexto de la parashá, ¿qué es la 'verdad' según Salmos 119:142?",La Torá es la verdad.
¿Qué representa el mobiliario exterior del atrio en relación con la teshuvá?,El altar representa el sacrificio del pecado y la fuente representa la limpieza por la palabra.
¿Cuál es la raíz de la palabra Shabbat y qué significa?,"La raíz es 'Yashav', que significa reposar, posarse o habitar."
¿Qué significa que el Shabbat sea una 'señal' entre Elohim e Israel según Éxodo 31:17?,Es una evidencia externa de un pacto perpetuo de pertenencia y santificación.
¿Por qué el sistema de sacrificios de animales ya no es necesario según Hebreos 9?,Porque el Mesías entró una vez para siempre con su propia sangre obteniendo eterna redención.
