¿Qué significa el nombre de la porción de la Torá 'Beshalaj'?,Significa 'cuando envió' o 'cuando dejó ir'.
¿Cuál es el rango de capítulos y versículos que abarca la Parashat Beshalaj en el libro de Éxodo?,Comprende desde Éxodo 13:17 hasta Éxodo 17:16.
¿Por qué Elohim no guió a los israelitas por el camino de la tierra de los filisteos aunque estaba cerca?,Para evitar que el pueblo se arrepintiera y volviera a Egipto al ver la guerra.
¿Qué función cumplía la columna de nube durante el día en el desierto?,Guiaba al pueblo por el camino y les proporcionaba sombra.
¿Qué propósito tenía la columna de fuego durante la noche para los israelitas?,Alumbraba el camino para que pudiesen andar de día y de noche.
"Según el análisis teológico del video, ¿qué representa la columna de nube y fuego en el Nuevo Pacto?",Es una sombra profética o prefiguración del Ruaj Hakodesh (Espíritu Santo).
"En el contexto del Tanaj, ¿qué significa el término hebreo 'Malaj'?","Significa enviado, mensajero o embajador."
"¿Qué traducción correcta tiene el término 'Yam Suf', erróneamente llamado Mar Rojo?",Se traduce como Mar de Cañas o Mar de los Juncos.
¿Qué significa el nombre del lugar de acampada 'Pihahirot'?,Significa 'la boca de la cavidad' o 'la boca de la caverna'.
"Según las evidencias geográficas presentadas, ¿por qué Golfo cruzó Israel el Mar Rojo?",Cruzaron por el Golfo de Áqaba.
¿En qué territorio actual sitúa el apóstol Pablo el Monte Sinaí en Gálatas 4:25?,Lo sitúa en Arabia.
¿Qué simboliza espiritualmente 'Egipto' en el proceso de liberación del creyente?,Representa el sistema del mundo y la esclavitud del pecado.
¿A quién representa proféticamente el Faraón en la lucha espiritual del creyente?,Representa a HaSatán (el adversario) que busca mantener a la humanidad cautiva.
¿Qué acto de fe simboliza el cruce de los israelitas a través del Mar Rojo?,Simboliza la Tevilah o el bautismo en agua.
"Según 1 Corintios 10:1-2, ¿en quién fueron bautizados los padres bajo la nube y en el mar?",Fueron bautizados en Moisés.
¿Qué palabra hebrea relacionada con el nombre del Mesías se utiliza en Éxodo 14:13 para 'salvación'?,Se utiliza la palabra 'Yeshua'.
¿Qué instrucción específica le dio Adonay a Moisés para dividir el mar?,Le ordenó alzar su vara y extender su mano sobre el mar.
¿Qué representan las aguas amargas de Mara en el camino espiritual?,"Representan las pruebas, la amargura de la esclavitud pasada y la vida sin Elohim."
¿Qué objeto utilizó Moisés para endulzar las aguas de Mara?,Utilizó un árbol o madero ($ets$).
"En la interpretación mesiánica, ¿qué simboliza el árbol ($ets$) arrojado a las aguas de Mara?",Simboliza al Mesías Yeshua transformando la amargura en dulzura.
"Según Deuteronomio 21:23, ¿cuál es el estado de aquel que es colgado en un madero?",Es considerado maldito por Elohim.
¿Qué significa literalmente el término 'Maná' derivado de la pregunta 'Man-hu'?,Significa '¿qué es esto?'.
¿Cuál era la regla de recolección del Maná para los días de la semana?,Cada persona debía recoger diariamente solo la porción de un día.
¿Qué sucedía con el Maná si se guardaba para el día siguiente en un día ordinario?,Se criaban gusanos y el alimento apestaba.
¿Cuánta porción de Maná debía recoger el pueblo en el sexto día?,Debían recoger una doble porción.
¿Qué nombre recibe el sexto día en relación con el Shabbat?,Se le conoce como el Día de la Preparación.
¿Por qué no descendía Maná en el séptimo día?,"Porque es el día de Shabbat, un día consagrado al reposo de Adonay."
"Según el video, ¿qué relación lingüística hay entre 'Yashav' (habitar) y 'Shabbat'?",El Shabbat es el tiempo en que Adonay habita o acampa con su pueblo.
¿Cuál fue la respuesta de Adonay ante los que salieron a recoger Maná en el séptimo día?,Reprendió al pueblo preguntando hasta cuándo se negarían a guardar sus mandamientos.
"En Juan 6:35, ¿con qué elemento se identifica Yeshua al compararse con el Maná?",Se identifica como el Pan de Vida que descendió del cielo.
¿Qué ciudad representaba el destino de las aguas amargas antes de ser endulzadas?,El lugar se llamaba Mara.
¿Qué prometió Adonay si el pueblo oía Su voz y guardaba Sus mandamientos en Éxodo 15:26?,Prometió no enviarles ninguna de las enfermedades enviadas a los egipcios.
¿Qué nombre se le da a Adonay en Éxodo 15:26 tras la prueba de las aguas?,Adonay Rof'eja (Adonay tu sanador).
¿Qué ave envió Adonay por la tarde para proveer carne al pueblo?,Envió codornices.
¿Qué representa la guerra contra Amalec en el ámbito espiritual?,Representa las fuerzas del mal que buscan debilitar al pueblo del Eterno.
¿Qué ocurría en la batalla contra Amalec mientras Moisés mantenía sus manos en alto?,Israel prevalecía en la guerra.
¿Cuál es el significado de la palabra hebrea 'Emunah' en el contexto de las manos de Moisés?,"Significa firmeza, estabilidad o constancia."
¿Quiénes ayudaron a Moisés a sostener sus brazos durante la batalla?,Aarón y Hur sostuvieron sus brazos.
¿Quién lideró físicamente el combate contra Amalec mientras Moisés estaba en el monte?,Josué ($Yehoshua$) lideró el combate.
"Según el estudio, ¿qué constituye el 'alimento espiritual' del creyente basado en Mateo 4:4?",Toda palabra que sale de la boca del Eterno.
¿Qué significa el término hebreo 'Lejem'?,"Significa pan, alimento, comida o provisión."
¿Qué instrucción dio Moisés sobre la vasija de Maná?,Debía ponerse delante del Testimonio (el Arca) para ser guardada por generaciones.
¿Cuántos años comieron los hijos de Israel el Maná?,Comieron Maná durante cuarenta años.
"Según el video, ¿qué es la 'Parnasa'?",Es el sustento o la doble porción que el Eterno otorga para el Shabbat.
¿Cuál es la señal de pacto perpetuo entre Adonay e Israel mencionada en Éxodo 31:16-17?,La celebración y el guardado del día de Shabbat.
¿A qué se refiere el término 'Testimonio' ($Edut$) mencionado en Éxodo 16:34?,Se refiere al Arca de la Alianza o del Pacto.
¿Qué sentimiento motivaba las quejas del pueblo en el desierto según el texto?,La murmuración por falta de agua y comida.
¿Qué significa hacer lo 'Yashar' según Deuteronomio 6:18?,"Significa hacer lo que es recto, íntegro o derecho ante los ojos de Adonay."
¿Qué significa hacer lo 'Tob' ante los ojos del Eterno?,"Significa hacer lo que es bueno, hermoso o valioso."
¿Cuál es el mandamiento principal que Yeshua cita al ser consultado en los evangelios?,"Cita el Shma (Oye Israel, Adonay nuestro Elohim, Adonay uno es)."
"Según la enseñanza sobre el Shma antiguo, ¿qué se incluía originalmente antes de ser 'mutilado'?",Originalmente incluía la recitación de los Diez Mandamientos.
"En el contexto de Raíces Hebreas, ¿qué implica el arrepentimiento ($Teshuvá$)?",Implica un cambio de vida y el compromiso de volver a obedecer los mandamientos de la Torá.
¿Bajo qué autoridad se realizaban los bautismos en el primer siglo según Hechos 2:38?,Se realizaban en el nombre (autoridad) de Yeshua HaMashiaj.
