¿Cómo se llama el candelabro de siete brazos que daba luz en el Tabernáculo?,Menorá.
¿Qué líquido especial se usaba para que las lámparas de la Menorá dieran luz?,Aceite de oliva puro.
¿Quién fue el primer Sumo Sacerdote y hermano de Moisés?,Aarón.
¿Qué representan las luces encendidas de la Menorá?,La presencia de Dios.
Cloze: La Menorá tiene _____ brazos.,Siete.
¿De qué fruta sacaban los hijos de Israel el aceite para las lámparas?,De la aceituna u oliva.
¿Qué tenían que traer los niños de Israel para que siempre hubiera luz?,Aceite puro de olivas.
¿Cómo se llama la lección de la Biblia de esta semana?,Parashá Tetzavé.
"¿Qué significa la palabra ""Tetzavé"" en español?",Mandarás.
¿Cuántas piedras de colores brillantes tenía el Sacerdote en su pecho?,Doce.
¿A quiénes representaban las doce piedras de colores del Sacerdote?,A las doce tribus de Israel.
¿Para qué servían las ropas del Sacerdote según la Biblia?,Para honra y hermosura.
¿Qué objeto de oro llevaba el Sacerdote en su frente?,Una placa o diadema de oro.
¿Qué palabras hermosas estaban escritas en la placa de oro de la frente?,Santidad a Adonay.
¿Qué color en la ropa del Sacerdote nos ayuda a recordar el cielo?,El color azul.
¿Qué representa el metal oro en las cosas de Dios?,La fe y lo que es valioso.
¿En qué momentos del día se encendía el incienso y se hacía oración?,En la mañana y en la tarde.
¿Qué cosa olía muy rico dentro del Tabernáculo?,El incienso.
¿Cómo se llamaba el mueble de oro donde se quemaba el incienso?,Altar de incienso.
¿A qué se parecen nuestras oraciones cuando hablamos con Dios?,Al humo dulce del incienso.
¿Qué usaba el Sacerdote para saber qué decisión quería Dios que tomara?,El Urim y el Tumim.
Cloze: Los hijos de Israel se dividen en _____ tribus.,Doce.
¿Qué frutitas de tela colgaban del borde del manto azul del Sacerdote?,Granadas.
¿Qué hacía un sonido musical cuando el Sacerdote caminaba?,Campanitas de oro.
"¿Qué significa la palabra ""Santo""?",Alguien especial y apartado para Dios.
¿Quién es nuestro ayudante para portarnos bien y obedecer a Dios?,El Espíritu Santo.
¿Cómo se llama el gorrito o turbante que usaba el Sacerdote?,Mitra.
¿De qué color era la túnica de lino que usaba el Sacerdote abajo de todo?,Blanco.
¿Qué significa el color blanco en la ropa del Sacerdote?,Pureza y limpieza de corazón.
¿Cuántas veces al día debían orar los sacerdotes en el altar?,Dos veces (mañana y tarde).
¿Qué representa el aceite puro en nuestro corazón?,Al Espíritu Santo.
¿Qué significa que la luz de la Menorá no podía apagarse?,Que debemos buscar a Dios siempre.
¿Para qué servían las campanitas de la ropa del Sacerdote?,Para avisar que estaba trabajando para Dios.
¿Cómo debemos obedecer las cosas que Dios nos pide?,Con mucho amor y alegría.
"¿Qué era el ""Mishkán"" en el desierto?",La tienda o casita de Dios.
¿Cómo llama Dios a los niños y personas que lo obedecen?,Su tesoro especial.
"¿Qué significa la palabra ""Torá""?",La enseñanza o instrucción de Dios.
¿Quiénes ayudaban a Aarón en el Tabernáculo?,"Sus hijos, los sacerdotes."
"¿Quién dijo ""Yo soy la luz del mundo""?",Yeshua (Jesús).
¿Dónde llevaba el Sacerdote los nombres de las tribus para mostrar que Dios nos cuida?,En sus hombros y en su pecho.
¿Qué significa que el Sacerdote llevara nuestros nombres en su pecho?,Que Dios nos lleva en su corazón.
¿De qué metal brillante estaba cubierto el altar de incienso?,De oro.
¿Cerca de qué cortina especial estaba el altar de incienso?,Cerca del velo.
¿Qué les hacían a las aceitunas para sacar el aceite puro?,Las machacaban o aplastaban.
¿Qué representa el cinturón que usaba el Sacerdote?,Estar listo para servir a los demás.
¿Cómo podemos nosotros ser lucecitas en el mundo hoy?,Haciendo cosas buenas y amables.
¿Cómo se llama el cuadro con doce piedras que iba en el pecho del Sacerdote?,Pectoral.
¿Cuántas filas de piedras preciosas tenía el pectoral?,Cuatro filas.
¿Por qué el aceite para Dios tenía que ser muy limpio y puro?,Porque a Dios le damos lo mejor.
¿Qué representa el color rojo carmesí en el Tabernáculo?,El sacrificio y el amor de Dios.
¿Qué nos recuerda el color púrpura en la ropa del Sacerdote?,Que somos hijos e hijas del Rey Dios.
¿Qué debemos cuidar para que Dios esté feliz de vivir en nosotros?,Nuestro cuerpo y nuestros pensamientos.
¿Qué es el arrepentimiento?,Pedir perdón y volver a portarse bien con Dios.
¿A qué se parece el aceite extra que tenían las niñas sabias en la historia?,A estar siempre listos para Dios.
¿Quién nos ayuda a entender lo que leemos en la Biblia?,El Espíritu de Verdad.
¿Cuántas puertas tiene la ciudad de Dios según el libro de Apocalipsis?,Doce puertas.
¿Cómo nos ve Dios a cada uno de nosotros?,Como piedras preciosas muy valiosas.
¿Qué tenía que hacer el Sacerdote antes de ponerse su ropa especial?,Lavarse muy bien con agua.
¿Qué significa lavarse con agua antes de servir a Dios?,Tener un corazón limpio.
¿Podemos hablar con Dios en cualquier momento del día?,"Sí, como el incienso que sube siempre."
¿Qué significa que la Biblia es como una lámpara a nuestros pies?,Que nos enseña por dónde caminar.
¿Qué parte de nuestro cuerpo debemos cuidar para tener buenos pensamientos?,Nuestra mente (la frente).
"¿Qué es un ""corbán"" en lenguaje de la Biblia?",Un regalo para acercarse a Dios.
¿De cuántas piezas de oro se hizo la Menorá?,De una sola pieza martillada.
¿Hacia dónde nos enseña a mirar el color azul de la ropa santa?,Hacia el cielo.
¿Qué pasa si se nos acaba el aceite de la alegría y la fe?,Nuestra luz se apaga.
¿Cómo se llamaba el cuarto más secreto donde estaba Dios?,Lugar Santísimo.
"¿Qué es la ""Sedaká""?",Ayudar a los que no tienen comida o ropa.
¿Cómo se llamaba el aceite especial para nombrar a los sacerdotes?,Aceite de la unción.
¿Cómo debemos dar nuestros regalos y ayuda a los demás?,Con un corazón muy alegre.
