¿Cuáles son los dos significados complementarios de la palabra hebrea $Yom$ en $Génesis\ 1:5$?,El periodo de luz (día) y el ciclo completo de aproximadamente 24 horas.
"En el contexto de la creación, ¿qué componentes conforman un ciclo completo de $Yom$?",El periodo de oscuridad ($Erev$) seguido por el periodo de luz ($Voker$).
"Según la raíz etimológica hebrea, ¿qué significa el concepto $Erev$ (tarde)?",Mezcla o transición entre la luz y la oscuridad.
Definición del concepto $Voker$ (mañana) en el pensamiento bíblico.,El momento en que la luz irrumpe o rompe la oscuridad para iniciar el periodo de claridad.
¿Cuál es la función específica de las lumbreras según $Génesis\ 1:14$?,"Servir como señales para separar el día de la noche, las estaciones ($Moadim$), los días y los años."
"En $Génesis\ 1:14$, ¿qué evento astronómico se describe con el orden de separación 'día y noche'?",El atardecer o $Erev$.
Término hebreo utilizado en $Génesis\ 1:14$ para referirse a la 'frontera' o 'separación' entre el día y la noche.,$Lejavdil$ (derivado de $Vadal$).
¿Qué término hebreo se traduce como 'estaciones' en $Génesis\ 1:14$ y se refiere a las fiestas bíblicas?,$Moed$ (o su plural $Moadim$).
"Según la evidencia en $Nehemías\ 13:19$, ¿en qué momento ordenó el gobernador cerrar las puertas de Jerusalén?","Cuando comenzaba a oscurecer, justo antes del inicio del $Shabbat$."
¿Qué palabra hebrea utiliza $Nehemías\ 13:19$ para describir el oscurecimiento del día?,$Tsalá$ (relacionado con la sombra).
Interpretación del término hebreo $Lifney$ en el contexto del inicio del $Shabbat$.,"Significa 'ante el rostro de' o 'en presencia inmediata de', indicando la proximidad del cambio de día."
¿Cuál es la fecha exacta del día de la expiación ($Yom\ HaKippurim$) según el calendario bíblico?,El día 10 del séptimo mes.
"Según $Levítico\ 23:32$, ¿cuál es el marco temporal para guardar el reposo de $Yom\ HaKippurim$?",Desde la tarde del día 9 hasta la tarde del día 10.
¿Por qué el Eterno ordena iniciar la aflicción de $Yom\ HaKippurim$ en la tarde del día 9?,Para que el pueblo se anticipe y llegue en santidad al inicio del día 10 sin profanar ni un minuto.
Significado del término hebreo $Aná$ aplicado a $Yom\ HaKippurim$.,"Afligir, deprimir o humillar el alma (nefesh)."
¿En qué consiste la aflicción física del alma durante $Yom\ HaKippurim$?,En un ayuno completo de alimentos y bebidas.
Término hebreo que designa al $Shabbat$ de gran solemnidad o 'reposo supremo'.,$Shabbat\ Shabbaton$.
¿Qué fórmula utiliza el ángel en $Daniel\ 8:14$ para definir una unidad de tiempo (día) en el santuario?,$Erev\ Voker$ (tarde y mañana).
"En el Salmo $55:17$, ¿cuál es el orden diario de oración que establece el rey David?","Tarde ($Erev$), mañana ($Voker$) y mediodía ($Tsoharayim$)."
¿Por qué el rey David coloca la tarde en primer lugar en su ciclo de oración diaria?,"Porque bajo la mentalidad bíblica, el día nace cuando el sol se oculta."
