¿Qué significa el nombre de la porción de la Torá 'Vayakhel'?,Significa 'y congregó' o 'y reunió'.
¿Cuál es el significado del nombre de la porción 'Pekudei'?,Significa 'cuentas' o 'recuento'.
¿Cuál fue la primera instrucción que Moisés le dio al pueblo antes de empezar a construir el Tabernáculo?,La instrucción de guardar el día de reposo (Shabbat).
Menciona a los dos líderes principales que Dios eligió para construir el Tabernáculo.,Sus nombres eran Besalel y Aoliab.
¿Qué significa la palabra hebrea 'Mishkán'?,Significa el lugar donde habita o vive la presencia de Dios.
"En el Tabernáculo, ¿qué representa el metal llamado oro?","Representa lo celestial, la realeza y la presencia de Dios."
"En el Tabernáculo, ¿qué representa el metal llamado bronce?",Representa a la humanidad y nuestra vida aquí en la tierra.
La cortina de la puerta tenía cuatro colores. ¿Qué representa el color azul?,Representa el cielo y el origen divino de Yeshua (Jesús).
La cortina de la puerta tenía cuatro colores. ¿Qué representa el color púrpura?,Representa que el Mesías es nuestro Rey y tiene toda la autoridad.
La cortina de la puerta tenía cuatro colores. ¿Qué representa el color carmesí (rojo)?,Representa la sangre y el sacrificio que hizo el Mesías por nosotros.
La cortina de la puerta tenía cuatro colores. ¿Qué representa el color blanco (lino)?,Representa la justicia y la obediencia a la palabra de Dios.
¿Cuántas puertas de entrada tenía el Tabernáculo?,"Tenía una sola puerta, lo que significa que solo hay un camino a Dios."
¿Para qué servía el Altar de Bronce que estaba en el patio?,Para hacer los sacrificios y pedir perdón por los pecados.
¿Qué hacían los sacerdotes en la Fuente de Bronce (Lavacro)?,Se lavaban las manos y los pies para estar limpios antes de servir a Dios.
"Espiritualmente, ¿qué representa el agua de la Fuente de Bronce?",Representa la palabra de Dios que nos limpia cada día.
¿De qué material estaban hechos los espejos que se usaron para fabricar la Fuente de Bronce?,Estaban hechos de metal pulido que trajeron las mujeres de Israel.
¿Cómo se llama el candelabro de siete brazos que estaba dentro del Lugar Santo?,Se llama Menorah.
¿Qué representa la luz de la Menorah para nosotros?,Representa al Espíritu Santo y que el Mesías es la luz del mundo.
¿Cuántos panes se ponían sobre la Mesa de la Proposición?,"Se ponían $12$ panes, uno por cada tribu de Israel."
¿Qué representa el pan que se ponía en la mesa del Tabernáculo?,Representa la palabra de Dios que nos alimenta espiritualmente.
¿Qué representa el humo que subía del Altar de Incienso?,Representa las oraciones de todas las personas que aman a Dios.
¿Cuál era el objeto más sagrado que estaba en el Lugar Santísimo?,Era el Arca de la Alianza (o Arca del Testimonio).
