"¿Qué significa la palabra hebrea ""Mishpatim""?","Significa juicios, leyes o decretos de Dios."
¿Quién es el único que establece los decretos o leyes en la Biblia?,Nuestro Creador (Dios).
¿Para qué sirven las leyes de Dios en nuestra vida?,"Para traer orden, justicia y paz."
¿Qué sucede con nuestra realidad cuando obedecemos los decretos de Dios?,Nuestra realidad se transforma para bien.
"Si alguien roba un buey y lo vende, ¿cuántos bueyes debe devolver?",Debe devolver cinco bueyes.
"Si alguien roba una oveja, ¿cuántas ovejas debe devolver para reparar el daño?",Debe devolver cuatro ovejas.
¿Cómo se llama el acto de devolver o arreglar algo que rompimos o robamos?,Restitución.
"¿Basta con decir ""lo siento"" para arrepentirse de verdad según la Torá?","No, también hay que reparar el daño causado."
"Si tu animalito se come el pasto del campo de tu vecino, ¿con qué debes pagarle?",Con lo mejor de tu propio campo.
¿Qué nos enseñan las leyes sobre los campos de los vecinos?,A respetar los límites y el espacio de los demás.
¿A qué se parece un chisme o una mala palabra según el video?,A un pequeño fuego que puede quemar todo un bosque.
¿Qué parte de nuestro cuerpo debemos cuidar para no causar peleas?,Nuestra lengua.
¿Cómo se llama en hebreo la lengua que habla mal de los demás?,Lashón Hará (lengua maligna).
"Si dos personas pelean y una sale herida, ¿quién debe pagar los gastos médicos?",La persona que causó la herida.
"Según Proverbios 12, las malas palabras son como golpes de _____.",Espada.
"Según Proverbios 12, la lengua de los sabios funciona como _____.",Medicina.
¿Qué debe hacer alguien que antes robaba para cambiar su vida?,Debe trabajar para compartir con los que necesitan.
"Dios dijo: ""No traten mal al extranjero, porque ustedes fueron extranjeros en _____ "".",Egipto.
¿Qué debemos sentir por las personas que sufren basándonos en nuestra propia historia?,Compasión y misericordia.
¿Debemos hacer cosas malas solo porque la mayoría de la gente las hace?,"No, no debemos seguir a la multitud para hacer el mal."
"Si ves que el burrito de alguien que te cae mal se perdió, ¿qué debes hacer?",Debes ayudarlo y devolvérselo a su dueño.
"Si ves al animal de tu enemigo sufriendo bajo una carga, ¿qué ordena la Torá?",Que debes ayudarle a levantarlo.
¿Qué significa amar a nuestros enemigos?,Tener la voluntad de hacerles el bien aunque ellos nos traten mal.
"¿Qué significa la palabra hebrea ""Ashrey""?","Significa ser muy feliz, dichoso o bendecido."
